Appointment Year,Semester,Stipend Type,Account,OBJ,School Name,PID,Program Code,Program Name,Work Hours,Fall Offer Amount
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100885110,PH2517,Biological Sciences,15,7921
2020,FALL,RA,10-100000-250310-0000-20-706110,706110,Arts & Sciences,P100898027,PH2517,Biological Sciences,1,560
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100898027,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100911158,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100912080,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100912433,PH2517,Biological Sciences,15,8181
2020,FALL,RA,11645-10-1131936-706110,706110,Arts & Sciences,P100912552,MS2517,Biological Sciences,15,6012
2020,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100912756,PH2517,Biological Sciences,15,8181
2020,FALL,RA,11270-10-1132787-706110,706110,Arts & Sciences,P100912808,MS2517,Biological Sciences,15,6756
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100912818,PH2517,Biological Sciences,15,7621
2020,FALL,RA,12441-13-4100001-706110,706110,Arts & Sciences,P100912827,MS2517,Biological Sciences,15,7621
2020,FALL,RA,10-100000-250310-0000-20-706110,706110,Arts & Sciences,P100912970,MS2517,Biological Sciences,15,4000
2020,FALL,RA,12559-20-4100002-706110,706110,Arts & Sciences,P100912973,MS2517,Biological Sciences,15,1503
2020,FALL,RA,15402-19-1134500-706110,706110,Arts & Sciences,P100912973,MS2517,Biological Sciences,15,4509
2020,FALL,RA,11286-19-1535463-706110,706110,Arts & Sciences,P100945352,MS2517,Biological Sciences,15,6012
2020,FALL,RA,15989-19-1135421-706110,706110,Arts & Sciences,P100947724,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100950652,PH2517,Biological Sciences,15,7621
2020,FALL,RA,15958-20-1135405-706110,706110,Arts & Sciences,P100953297,MS2517,Biological Sciences,15,6012
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100953464,MS2517,Biological Sciences,15,6012
2021,FALL,RA,15182-21-1135871-706110,706110,Arts & Sciences,P001107695,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100137815,MS2517,Biological Sciences,15,6012
2021,FALL,RA,17401-21-1135898-706110,706110,Arts & Sciences,P100231805,MS2517,Biological Sciences,15,7452
2021,FALL,RA,17401-21-1135898-706110,706110,Arts & Sciences,P100231805,MS2517,Biological Sciences,2,7452
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100238699,MS2517,Biological Sciences,15,6012
2021,FALL,RA,12441-13-4100001-706110,706110,Arts & Sciences,P100264079,PH2517,Biological Sciences,15,8545
2021,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100270257,PH2517,Biological Sciences,15,8545
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100277127,MS2517,Biological Sciences,15,6012
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100278425,PH2517,Biological Sciences,15,7621
2021,FALL,RA,11628-10-1530409-706110,706110,Arts & Sciences,P100542569,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100676211,MS2517,Biological Sciences,15,6012
2021,FALL,RA,15188-19-1133919-706110,706110,Arts & Sciences,P100820121,MS2517,Biological Sciences,15,3900
2021,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100821293,PH2517,Biological Sciences,15,8545
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100823524,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100824149,PH2517,Biological Sciences,15,8545
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100824721,PH2517,Biological Sciences,15,7621
2021,FALL,RA,11628-10-1530409-706110,706110,Arts & Sciences,P100825315,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100825999,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100841938,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100870153,PH2517,Biological Sciences,15,7621
